Year,	Month,		Day,	H,	M,	S,	Lat,	Long,	Magnitude,	radianslat,	radianslong,	x,		y,		z,
1971,	April,		17,	7,	0,	55,	48,	35,	2.8,		0.837758041,	0.610865238,	0.548119704,	0.383797549,	0.743144825,
1971,	May,		20,	17,	25,	10,	42,	-24,	2,		0.733038286,	-0.41887902,	0.67889658,	-0.302264232,	0.669130606,
1971,	July,		11,	13,	24,	45,	43,	-47,	1.9,		0.750491578,	-0.820304748,	0.498782025,	-0.534878237,	0.68199836,
1972,	January,	2,	22,	29,	40,	54,	101,	1.9,		0.942477796,	1.762782545,	-0.112154713,	0.576985982,	0.809016994,
1972,	September,	17,	14,	35,	55,	12,	46,	1,		0.20943951,	0.802851456,	0.679478418,	0.7036205,	0.207911691,
1972,	December,	6,	23,	8,	20,	51,	45,	1.4,		0.890117919,	0.785398163,	0.444996716,	0.444996716,	0.777145961,
1972,	December,	9,	3,	50,	15,	-20,	-80,	1.2,		-0.34906585,	-1.396263402,	0.163175911,	-0.925416578,	-0.342020143,
1973,	February,	8,	22,	52,	10,	33,	35,	0.8,		0.575958653,	0.610865238,	0.68699871,	0.481041676,	0.544639035,
1973,	March,		13,	7,	56,	30,	-84,	-134,	3.2,		-1.466076572,	-2.338741198,	-0.072611572,	-0.075191484,	-0.994521895,
1973,	June,		20,	20,	22,	0,	-1,	-71,	2.2,		-0.017453293,	-1.239183769,	0.325518569,	-0.945374569,	-0.017452406,
1973,	October,	1,	3,	58,	0,	-37,	-29,	1.1,		-0.645771823,	-0.506145483,	0.698502356,	-0.387186178,	-0.601815023,
1974,	February,	23,	21,	16,	50,	36,	-16,	0.7,		0.628318531,	-0.27925268,	0.777677048,	-0.222995305,	0.587785252,
1974,	March,		27,	9,	11,	0,	-48,	-106,	1.6,		-0.837758041,	-1.850049007,	-0.184437391,	-0.643209621,	-0.743144825,
1974,	April,		19,	13,	35,	15,	-37,	42,	0.9,		-0.645771823,	0.733038286,	0.593501847,	0.534391463,	-0.601815023,
1974,	May,		29,	20,	42,	15,	20,	15,	0.6,		0.34906585,	0.261799388,	0.907673371,	0.243210347,	0.342020143,
1974,	July,		11,	0,	46,	30,	21,	88,	2.7,		0.366519143,	1.535889742,	0.032581487,	0.933011715,	0.35836795,
1975,	January,	3,	1,	42,	0,	29,	-98,	3.2,		0.506145483,	-1.710422667,	-0.121723537,	-0.866107968,	0.48480962,
1975,	January,	12,	3,	14,	10,	75,	40,	1.7,		1.308996939,	0.698131701,	0.198266891,	0.166365675,	0.965925826,
1975,	January,	13,	0,	26,	20,	-2,	-51,	1.1,		-0.034906585,	-0.890117919,	0.628937026,	-0.776672545,	-0.034899497,
1975,	February,	13,	22,	3,	50,	-19,	-26,	1.4,		-0.331612558,	-0.453785606,	0.849826466,	-0.414488062,	-0.325568154,
1975,	May,		7,	6,	37,	5,	-49,	-45,	1.3,		-0.855211333,	-0.785398163,	0.463903788,	-0.463903788,	-0.75470958,
1975,	May,		27,	23,	29,	0,	3,	-58,	1.4,		0.052359878,	-1.012290966,	0.529193028,	-0.846885876,	0.052335956,
1975,	November,	10,	7,	52,	55,	-8,	64,	1.8,		-0.13962634,	1.117010721,	0.434104949,	0.890047044,	-0.139173101,
1976,	January,	4,	11,	18,	55,	50,	30,	1.8,		0.872664626,	0.523598776,	0.556670399,	0.321393805,	0.766044443,
1976,	January,	12,	8,	18,	5,	38,	44,	1.1,		0.663225116,	0.767944871,	0.566847498,	0.547398266,	0.615661475,
1976,	March,		6,	10,	12,	40,	50,	-20,	2.3,		0.872664626,	-0.34906585,	0.604022774,	-0.21984631,	0.766044443,
1976,	March,		8,	14,	42,	10,	-19,	-12,	1.8,		-0.331612558,	-0.20943951,	0.924856726,	-0.196584366,	-0.325568154,
1976,	May,		16,	12,	32,	40,	77,	-10,	1.5,		1.343903524,	-0.174532925,	0.221533542,	-0.039062341,	0.974370065,
